transaction_id,customer_id,amount,timestamp,merchant
abc-123,C00001,150.50,2026-03-15 10:30:00+00:00,ONLINE_SHOP
def-456,C00002,75.25,2026-03-14 14:20:00+00:00,GAS_STATION
ghi-789,C00003,200.00,2026-03-13 09:15:00+00:00,SUPERMARKET
jkl-012,C00004,50.75,2026-03-12 16:45:00+00:00,PHARMACY
mno-345,C00005,125.00,2026-03-11 11:00:00+00:00,RESTAURANT
pqr-678,C00006,300.00,2026-03-10 13:30:00+00:00,STORE_1
stu-901,C00007,85.50,2026-03-09 08:20:00+00:00,STORE_2
vwx-234,C00008,175.25,2026-03-08 15:10:00+00:00,STORE_3
yz-567,C00009,60.00,2026-03-07 12:00:00+00:00,STORE_4
abc-890,C00010,225.75,2026-03-06 17:45:00+00:00,STORE_5
def-123,C00011,95.00,2026-03-05 10:30:00+00:00,STORE_6
ghi-456,C00012,180.50,2026-03-04 14:20:00+00:00,STORE_7
jkl-789,C00013,45.25,2026-03-03 09:15:00+00:00,STORE_8
mno-012,C00014,275.00,2026-03-02 16:45:00+00:00,STORE_9
pqr-345,C00015,110.75,2026-03-01 11:00:00+00:00,STORE_10
stu-678,C00016,350.00,2025-12-31 13:30:00+00:00,STORE_11
vwx-901,C00017,70.50,2025-12-30 08:20:00+00:00,STORE_12
yz-234,C00018,190.25,2025-12-29 15:10:00+00:00,STORE_13
abc-567,C00019,55.00,2025-12-28 12:00:00+00:00,STORE_14
def-890,C00020,240.75,2025-12-27 17:45:00+00:00,STORE_15</content>
<parameter name="filePath">c:\Users\HPs\Desktop\delta-scylla-pipeline\sample_data\sample_transactions.csv
